Subject,Condition,NoiseType,Set,File,Score
EM08CH15,gauss,Applaus,2,2,0
EM08CH15,synth,Applaus,2,2,67
EM08CH15,synsmall,Applaus,2,2,27
EM08CH15,orig,Applaus,2,3,100
EM08CH15,gauss,Applaus,2,3,0
EM08CH15,synth,Applaus,2,3,60
EM08CH15,synsmall,Applaus,2,3,51
EM08CH15,white,Applaus,2,1,0
EM08CH15,orig,Filmton,1,1,15
EM08CH15,gauss,Filmton,1,1,2
EM08CH15,synth,Filmton,1,1,22
EM08CH15,synsmall,Filmton,1,1,29
EM08CH15,orig,Filmton,1,2,91
EM08CH15,gauss,Filmton,1,2,31
EM08CH15,synth,Filmton,1,2,56
EM08CH15,synsmall,Filmton,1,2,24
EM08CH15,orig,Filmton,1,3,53
EM08CH15,gauss,Filmton,1,3,8
EM08CH15,synth,Filmton,1,3,24
EM08CH15,synsmall,Filmton,1,3,33
EM08CH15,white,Filmton,1,1,0
EM08CH15,orig,Filmton,2,1,26
EM08CH15,gauss,Filmton,2,1,11
EM08CH15,synth,Filmton,2,1,10
EM08CH15,synsmall,Filmton,2,1,9
EM08CH15,orig,Filmton,2,2,79
EM08CH15,gauss,Filmton,2,2,9
EM08CH15,synth,Filmton,2,2,44
EM08CH15,synsmall,Filmton,2,2,34
EM08CH15,orig,Filmton,2,3,70
EM08CH15,gauss,Filmton,2,3,43
EM08CH15,synth,Filmton,2,3,39
EM08CH15,synsmall,Filmton,2,3,6
EM08CH15,white,Filmton,2,1,0
EM08CH15,orig,Kassette,1,1,40
EM08CH15,gauss,Kassette,1,1,60
EM08CH15,synth,Kassette,1,1,7
EM08CH15,synsmall,Kassette,1,1,7
EM08CH15,orig,Kassette,1,2,14
EM08CH15,gauss,Kassette,1,2,41
EM08CH15,synth,Kassette,1,2,9
EM08CH15,synsmall,Kassette,1,2,6
EM08CH15,orig,Kassette,1,3,41
EM08CH15,gauss,Kassette,1,3,65
EM08CH15,synth,Kassette,1,3,8
EM08CH15,synsmall,Kassette,1,3,8
EM08CH15,white,Kassette,1,1,14
EM08CH15,orig,Kassette,2,1,82
EM08CH15,gauss,Kassette,2,1,82
EM08CH15,synth,Kassette,2,1,73
EM08CH15,synsmall,Kassette,2,1,70
EM08CH15,orig,Kassette,2,2,25
EM08CH15,gauss,Kassette,2,2,54
EM08CH15,synth,Kassette,2,2,3
EM08CH15,synsmall,Kassette,2,2,9
EM08CH15,orig,Kassette,2,3,20
EM08CH15,gauss,Kassette,2,3,72
EM08CH15,synth,Kassette,2,3,13
EM08CH15,synsmall,Kassette,2,3,52
EM08CH15,white,Kassette,2,1,8
EM08CH15,orig,Regen,1,1,91
EM08CH15,gauss,Regen,1,1,0
EM08CH15,synth,Regen,1,1,66
EM08CH15,synsmall,Regen,1,1,50
EM08CH15,orig,Regen,1,2,52
EM08CH15,gauss,Regen,1,2,10
EM08CH15,synth,Regen,1,2,50
EM08CH15,synsmall,Regen,1,2,30
EM08CH15,orig,Regen,1,3,93
EM08CH15,gauss,Regen,1,3,36
EM08CH15,synth,Regen,1,3,42
EM08CH15,synsmall,Regen,1,3,59
EM08CH15,white,Regen,1,1,0
EM08CH15,orig,Regen,2,1,13
EM08CH15,gauss,Regen,2,1,0
EM08CH15,synth,Regen,2,1,15
EM08CH15,synsmall,Regen,2,1,24
EM08CH15,orig,Regen,2,2,88
EM08CH15,gauss,Regen,2,2,4
EM08CH15,synth,Regen,2,2,52
EM08CH15,synsmall,Regen,2,2,61
EM08CH15,orig,Regen,2,3,95
EM08CH15,gauss,Regen,2,3,13
EM08CH15,synth,Regen,2,3,47
EM08CH15,synsmall,Regen,2,3,55
EM08CH15,white,Regen,2,1,0
EM08CH15,orig,Schallplatte,1,1,93
EM08CH15,gauss,Schallplatte,1,1,3
EM08CH15,synth,Schallplatte,1,1,32
EM08CH15,synsmall,Schallplatte,1,1,13
EM08CH15,orig,Schallplatte,1,2,49
EM08CH15,gauss,Schallplatte,1,2,6
EM08CH15,synth,Schallplatte,1,2,67
EM08CH15,synsmall,Schallplatte,1,2,30
EM08CH15,orig,Schallplatte,1,3,95
EM08CH15,gauss,Schallplatte,1,3,2
EM08CH15,synth,Schallplatte,1,3,35
EM08CH15,synsmall,Schallplatte,1,3,18
EM08CH15,white,Schallplatte,1,1,7
EM08CH15,orig,Schallplatte,2,1,88
EM08CH15,gauss,Schallplatte,2,1,11
EM08CH15,synth,Schallplatte,2,1,88
EM08CH15,synsmall,Schallplatte,2,1,55
EM08CH15,orig,Schallplatte,2,2,38
EM08CH15,gauss,Schallplatte,2,2,0
EM08CH15,synth,Schallplatte,2,2,23
EM08CH15,synsmall,Schallplatte,2,2,26
EM08CH15,orig,Schallplatte,2,3,5
EM08CH15,gauss,Schallplatte,2,3,12
EM08CH15,synth,Schallplatte,2,3,19
EM08CH15,synsmall,Schallplatte,2,3,13
EM08CH15,white,Schallplatte,2,1,0
ER05RD12,orig,Applaus,1,1,89
ER05RD12,gauss,Applaus,1,1,31
ER05RD12,synth,Applaus,1,1,100
ER05RD12,synsmall,Applaus,1,1,21
ER05RD12,orig,Applaus,1,2,100
ER05RD12,gauss,Applaus,1,2,31
ER05RD12,synth,Applaus,1,2,69
ER05RD12,synsmall,Applaus,1,2,69
ER05RD12,orig,Applaus,1,3,0
ER05RD12,gauss,Applaus,1,3,31
ER05RD12,synth,Applaus,1,3,0
ER05RD12,synsmall,Applaus,1,3,69
ER05RD12,white,Applaus,1,1,0
ER05RD12,orig,Applaus,2,1,100
ER05RD12,gauss,Applaus,2,1,11
ER05RD12,synth,Applaus,2,1,11
ER05RD12,synsmall,Applaus,2,1,0
ER05RD12,orig,Applaus,2,2,100
ER05RD12,gauss,Applaus,2,2,5
ER05RD12,synth,Applaus,2,2,22
ER05RD12,synsmall,Applaus,2,2,22
ER05RD12,orig,Applaus,2,3,0
ER05RD12,gauss,Applaus,2,3,11
ER05RD12,synth,Applaus,2,3,11
ER05RD12,synsmall,Applaus,2,3,22
ER05RD12,white,Applaus,2,1,0
ER05RD12,orig,Filmton,1,1,94
ER05RD12,gauss,Filmton,1,1,11
ER05RD12,synth,Filmton,1,1,0
ER05RD12,synsmall,Filmton,1,1,17
ER05RD12,orig,Filmton,1,2,100
ER05RD12,gauss,Filmton,1,2,31
ER05RD12,synth,Filmton,1,2,100
ER05RD12,synsmall,Filmton,1,2,11
ER05RD12,orig,Filmton,1,3,90
ER05RD12,gauss,Filmton,1,3,27
ER05RD12,synth,Filmton,1,3,90
ER05RD12,synsmall,Filmton,1,3,0
ER05RD12,white,Filmton,1,1,0
ER05RD12,orig,Filmton,2,1,100
ER05RD12,gauss,Filmton,2,1,77
ER05RD12,synth,Filmton,2,1,100
ER05RD12,synsmall,Filmton,2,1,68
ER05RD12,orig,Filmton,2,2,100
ER05RD12,gauss,Filmton,2,2,0
ER05RD12,synth,Filmton,2,2,78
ER05RD12,synsmall,Filmton,2,2,66
ER05RD12,orig,Filmton,2,3,100
ER05RD12,gauss,Filmton,2,3,66
ER05RD12,synth,Filmton,2,3,78
ER05RD12,synsmall,Filmton,2,3,79
ER05RD12,white,Filmton,2,1,0
ER05RD12,orig,Kassette,1,1,89
ER05RD12,gauss,Kassette,1,1,72
ER05RD12,synth,Kassette,1,1,43
ER05RD12,synsmall,Kassette,1,1,31
ER05RD12,orig,Kassette,1,2,42
ER05RD12,gauss,Kassette,1,2,0
ER05RD12,synth,Kassette,1,2,30
ER05RD12,synsmall,Kassette,1,2,12
ER05RD12,orig,Kassette,1,3,0
ER05RD12,gauss,Kassette,1,3,62
ER05RD12,synth,Kassette,1,3,18
ER05RD12,synsmall,Kassette,1,3,18
ER05RD12,white,Kassette,1,1,16
ER05RD12,orig,Kassette,2,1,100
ER05RD12,gauss,Kassette,2,1,65
ER05RD12,synth,Kassette,2,1,56
ER05RD12,synsmall,Kassette,2,1,48
ER05RD12,orig,Kassette,2,2,7
ER05RD12,gauss,Kassette,2,2,38
ER05RD12,synth,Kassette,2,2,7
ER05RD12,synsmall,Kassette,2,2,7
ER05RD12,orig,Kassette,2,3,24
ER05RD12,gauss,Kassette,2,3,55
ER05RD12,synth,Kassette,2,3,24
ER05RD12,synsmall,Kassette,2,3,0
ER05RD12,white,Kassette,2,1,0
ER05RD12,orig,Regen,1,1,43
ER05RD12,gauss,Regen,1,1,47
ER05RD12,synth,Regen,1,1,89
ER05RD12,synsmall,Regen,1,1,19
ER05RD12,orig,Regen,1,2,14
ER05RD12,gauss,Regen,1,2,15
ER05RD12,synth,Regen,1,2,41
ER05RD12,synsmall,Regen,1,2,0
ER05RD12,orig,Regen,1,3,62
ER05RD12,gauss,Regen,1,3,70
ER05RD12,synth,Regen,1,3,75
ER05RD12,synsmall,Regen,1,3,0
ER05RD12,white,Regen,1,1,57
ER05RD12,orig,Regen,2,1,14
ER05RD12,gauss,Regen,2,1,7
ER05RD12,synth,Regen,2,1,0
ER05RD12,synsmall,Regen,2,1,64
ER05RD12,orig,Regen,2,2,52
ER05RD12,gauss,Regen,2,2,10
ER05RD12,synth,Regen,2,2,0
ER05RD12,synsmall,Regen,2,2,98
ER05RD12,orig,Regen,2,3,78
ER05RD12,gauss,Regen,2,3,58
ER05RD12,synth,Regen,2,3,78
ER05RD12,synsmall,Regen,2,3,80
ER05RD12,white,Regen,2,1,39
ER05RD12,orig,Schallplatte,1,1,0
ER05RD12,gauss,Schallplatte,1,1,10
ER05RD12,synth,Schallplatte,1,1,73
ER05RD12,synsmall,Schallplatte,1,1,9
ER05RD12,orig,Schallplatte,1,2,55
ER05RD12,gauss,Schallplatte,1,2,0
ER05RD12,synth,Schallplatte,1,2,58
ER05RD12,synsmall,Schallplatte,1,2,49
ER05RD12,orig,Schallplatte,1,3,85
ER05RD12,gauss,Schallplatte,1,3,9
ER05RD12,synth,Schallplatte,1,3,89
ER05RD12,synsmall,Schallplatte,1,3,89
ER05RD12,white,Schallplatte,1,1,0
ER05RD12,orig,Schallplatte,2,1,100
ER05RD12,gauss,Schallplatte,2,1,0
ER05RD12,synth,Schallplatte,2,1,74
ER05RD12,synsmall,Schallplatte,2,1,0
ER05RD12,orig,Schallplatte,2,2,48
ER05RD12,gauss,Schallplatte,2,2,0
ER05RD12,synth,Schallplatte,2,2,48
ER05RD12,synsmall,Schallplatte,2,2,35
ER05RD12,orig,Schallplatte,2,3,0
ER05RD12,gauss,Schallplatte,2,3,21
ER05RD12,synth,Schallplatte,2,3,21
ER05RD12,synsmall,Schallplatte,2,3,43
ER05RD12,white,Schallplatte,2,1,0
GO03IO21,orig,Applaus,1,1,85
GO03IO21,gauss,Applaus,1,1,40
GO03IO21,synth,Applaus,1,1,74
GO03IO21,synsmall,Applaus,1,1,50
GO03IO21,orig,Applaus,1,2,85
GO03IO21,gauss,Applaus,1,2,86
GO03IO21,synth,Applaus,1,2,86
GO03IO21,synsmall,Applaus,1,2,26
GO03IO21,orig,Applaus,1,3,86
GO03IO21,gauss,Applaus,1,3,26
GO03IO21,synth,Applaus,1,3,63
GO03IO21,synsmall,Applaus,1,3,63
GO03IO21,white,Applaus,1,1,0
GO03IO21,orig,Applaus,2,1,100
GO03IO21,gauss,Applaus,2,1,7
GO03IO21,synth,Applaus,2,1,0
GO03IO21,synsmall,Applaus,2,1,50
GO03IO21,orig,Applaus,2,2,100
GO03IO21,gauss,Applaus,2,2,8
GO03IO21,synth,Applaus,2,2,29
GO03IO21,synsmall,Applaus,2,2,27
GO03IO21,orig,Applaus,2,3,100
GO03IO21,gauss,Applaus,2,3,5
GO03IO21,synth,Applaus,2,3,69
GO03IO21,synsmall,Applaus,2,3,26
GO03IO21,white,Applaus,2,1,0
GO03IO21,orig,Filmton,1,1,16
GO03IO21,gauss,Filmton,1,1,16
GO03IO21,synth,Filmton,1,1,39
GO03IO21,synsmall,Filmton,1,1,38
GO03IO21,orig,Filmton,1,2,62
GO03IO21,gauss,Filmton,1,2,0
GO03IO21,synth,Filmton,1,2,38
GO03IO21,synsmall,Filmton,1,2,16
GO03IO21,orig,Filmton,1,3,16
GO03IO21,gauss,Filmton,1,3,0
GO03IO21,synth,Filmton,1,3,15
GO03IO21,synsmall,Filmton,1,3,14
GO03IO21,white,Filmton,1,1,15
GO03IO21,orig,Filmton,2,1,15
GO03IO21,gauss,Filmton,2,1,0
GO03IO21,synth,Filmton,2,1,39
GO03IO21,synsmall,Filmton,2,1,27
GO03IO21,orig,Filmton,2,2,39
GO03IO21,gauss,Filmton,2,2,15
GO03IO21,synth,Filmton,2,2,39
GO03IO21,synsmall,Filmton,2,2,50
